GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "06001","Alameda, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",9959452,9902730,10193555,10911461,11474220,12281140,13577326,14971572,14086375,14710660,16022382,17163983,17559742,18008838,19707991,19608173,20871769,22280512,23398676,23251230
 "06001","Alameda, CA",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",5951163,6203396,6285273,6818455,7212671,7791949,8723568,10125156,9508538,9830723,10518469,11280648,11465145,12255555,13699406,13694206,14424598,15190334,15931004,15638536
 "06001","Alameda, CA",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",1956258,1743511,1918202,1941498,2022488,2093908,2267712,2225390,2234189,2371722,3002611,3320539,3382773,2843971,2851468,2542229,2750145,3148408,3293113,3581024
 "06001","Alameda, CA",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",2052031,1955823,1990080,2151508,2239061,2395283,2586045,2621025,2343648,2508216,2501302,2562795,2711823,2909312,3157117,3371738,3697027,3941770,4174559,4031670
 "06001","Alameda, CA",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",4333680,4773419,5209535,5353685,5623602,6014739,6245047,6972159,7528382,8661907,8479997,8958169,9291599,9443803,10029858,10525253,10982140,11379861,12086390,11711596
 "06001","Alameda, CA",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",433946,471226,557278,629503,665770,726153,759812,828897,939795,964395,1013763,1055415,1074344,1222759,1245616,1317229,1347841,1405477,1460653,1282111
 "06001","Alameda, CA",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",3899734,4302193,4652257,4724181,4957832,5288586,5485235,6143262,6588586,7697512,7466233,7902753,8217255,8221044,8784242,9208023,9634299,9974384,10625737,10429485
 "06001","Alameda, CA",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",2366509,2564164,2559447,2398350,2388031,2526958,2515644,2721045,2557270,2581204,2849321,3176391,3250921,3665601,4433408,4877802,5245881,5463582,5855188,3571231
 "06001","Alameda, CA",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",728415,814825,818122,749966,769261,750756,726970,893457,880594,889271,1029755,1155649,986097,1058888,1441239,1611104,1747250,1742696,1869252,810068
 "06001","Alameda, CA",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",1638094,1749339,1741325,1648384,1618770,1776202,1788674,1827588,1676676,1691933,1819566,2020742,2264824,2606714,2992169,3266698,3498631,3720887,3985935,2761163
 "06001","Alameda, CA",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1697117,1826765,1818321,1867181,1922675,2003857,1998837,1948287,1889601,1828091,1873353,1930908,2029932,2116169,2240693,2378907,2527621,2742586,2878301,2542215
 "06001","Alameda, CA",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",9052735,9753905,10165713,10779804,10996098,11456894,11820760,11379248,11317908,11449790,11609044,11805965,12592160,13503773,14374710,15094266,15240413,15934374,16483206,16713288
 "06001","Alameda, CA",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),135884,135745,155268,152492,180967,239710,166794,161901,144452
 "06001","Alameda, CA",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",10035721,10056274,10271922,10710286,11308728,12087678,12424427,11973947,10732822,11474898,12267348,13021749,13574881,14207109,15144347,15105634,15670081,16184615,16979468,16388911
