GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "25001","Barnstable, MA",1,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",2647126,2699649,2620292,2646034,2658954,2612789,2836946,3351572,3192880,3360397,3527848,3438357,3518512,3768414,3839548,3951740,3908598,4069418,4428406,4438633
 "25001","Barnstable, MA",1,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",355358,362979,373118,353682,341955,348442,329549,335392,377847,373698,386212,426331,401871,422748,550474,498289,513589,558893,585641,589974
 "25001","Barnstable, MA",1,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",2291769,2336671,2247174,2292352,2316999,2264347,2507397,3016179,2815033,2986698,3141636,3012026,3116640,3345667,3289074,3453451,3395009,3510525,3842764,3848658
 "25001","Barnstable, MA",1,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",730550,779460,836618,896030,880468,890551,880643,962136,925383,963855,1018741,1050870,1051629,1064666,1062800,1074149,1061064,1182550,1238103,1199348
 "25001","Barnstable, MA",1,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",415995,458613,489475,515917,511192,520059,524108,579281,538876,573643,610935,631183,599304,602139,601930,620564,623728,665359,700202,690144
 "25001","Barnstable, MA",1,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",132200,132904,141801,148856,131420,122320,78528,113224,126537,119707,131274,125266,132748,128000,115546,103385,61393,120119,104466,102436
 "25001","Barnstable, MA",1,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",182355,187942,205342,231257,237855,248172,278006,269630,259970,270506,276533,294421,319577,334528,345325,350200,375943,397072,433435,406768
 "25001","Barnstable, MA",1,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",652718,724967,792100,860345,881217,940045,998065,(D),(D),(D),(D),1214520,1226928,1254421,1329558,1393536,1455984,1483642,1533547,1415033
 "25001","Barnstable, MA",1,CAGDP2,69,"61","   Educational services","Thousands of dollars",31827,36917,41183,46886,46864,49546,56078,(D),(D),(D),(D),73502,75033,80650,85186,95016,95777,93728,100697,88977
 "25001","Barnstable, MA",1,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",620891,688050,750917,813459,834353,890499,941987,1012227,1048350,1072827,1101864,1141018,1151894,1173771,1244372,1298520,1360207,1389914,1432851,1326057
 "25001","Barnstable, MA",1,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",648919,699599,698907,764314,772311,734902,718075,732142,765099,800745,813716,886306,964067,1020614,1117808,1169072,1211014,1257801,1333869,952030
 "25001","Barnstable, MA",1,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",114071,124184,117332,135878,146004,150486,158260,144807,152872,160721,159315,160316,188464,208533,234097,241809,254391,263092,284288,200215
 "25001","Barnstable, MA",1,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",534848,575415,581575,628436,626307,584415,559815,587335,612227,640025,654401,725990,775603,812081,883711,927263,956623,994709,1049580,751815
 "25001","Barnstable, MA",1,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",249613,279646,280725,297111,316168,322593,318804,(D),(D),(D),(D),309347,314390,339680,351220,359936,364486,385753,399131,356632
 "25001","Barnstable, MA",1,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",1109278,1160583,1242085,1303700,1381587,1452953,1583011,1655948,1671887,1712751,1779062,1746429,1815323,1824279,1866151,1856223,1911692,1994883,2040279,2029527
 "25001","Barnstable, MA",1,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",48124,47811,42537,42263,47599,47496,60193,43978,39669,56366,61550,71967,65388,55327,(D),69419,(D),(D),85356,82555
 "25001","Barnstable, MA",1,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",886501,919424,993901,1049040,1063835,1043192,1013916,987066,967584,1008345,1021515,1043154,1086603,1105961,1164155,1184250,1209404,1237830,1296961,1285547
 "25001","Barnstable, MA",1,CAGDP2,89,"22, 48-49","Transportation and utilities","Thousands of dollars",527020,408552,384095,485318,467657,306797,359375,350389,243216,197700,191090,179221,187558,233752,236235,204995,228878,270580,303857,258507
 "25001","Barnstable, MA",1,CAGDP2,90,"31-33, 51","Manufacturing and information","Thousands of dollars",444551,491710,475884,464954,468759,475741,473098,475763,456667,472879,461470,453608,484456,499445,(D),569422,(D),(D),689608,696384
 "25001","Barnstable, MA",1,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",905701,934135,988783,1036263,1090683,1124935,1078754,963912,920443,947925,963812,1072606,1053010,1124487,1209797,1292344,1315261,1388179,1480207,1484622
